machine_code,cycle_start_time,channel_code,min_stress,max_stress,life,damage
RTIO_MJ_15H225,1/05/2025 0:00:00,SG01,31.037333,43.534667,14.1569,4.72E-06
RTIO_MJ_15H225,1/05/2025 0:00:00,SG02,21.424,66.469333,18.623274,6.21E-06
RTIO_MJ_15H225,1/05/2025 0:00:00,SG03,3.296,51.637333,8.991495,9.99E-07
RTIO_MJ_15H225,1/05/2025 0:00:00,SG04,-5.630667,77.730667,15.956183,1.77E-06
RTIO_MJ_15H225,1/05/2025 0:00:00,SG05,6.729333,46.830667,7.417475,8.24E-07
RTIO_MJ_15H225,1/05/2025 0:00:00,SG06,18.814667,65.233333,21.513305,2.39E-06
RTIO_MJ_15H225,1/05/2025 0:00:00,SG07,8.24,33.097333,3.807904,4.23E-07
RTIO_MJ_15H225,1/05/2025 0:00:00,SG08,16.617333,51.774667,11.681641,1.30E-06
RTIO_MJ_15H225,1/05/2025 0:00:00,SG09,15.106667,45.869333,6.057323,6.73E-07
RTIO_MJ_15H225,1/05/2025 0:00:00,SG10,17.029333,57.817333,11.019389,1.22E-06
RTIO_MJ_15H225,1/05/2025 0:00:00,SG11,13.870667,50.401333,5.622465,1.87E-06
RTIO_MJ_15H225,1/05/2025 0:00:00,SG12,-0.274667,50.676,3.827829,1.28E-06
RTIO_MJ_15H225,1/05/2025 0:05:00,SG01,60.976,44.221333,17.334017,5.78E-06
RTIO_MJ_15H225,1/05/2025 0:05:00,SG02,47.929333,76.632,26.187125,8.73E-06
RTIO_MJ_15H225,1/05/2025 0:05:00,SG03,28.702667,48.204,16.154569,1.79E-06
RTIO_MJ_15H225,1/05/2025 0:05:00,SG04,6.317333,74.022667,23.678527,2.63E-06
RTIO_MJ_15H225,1/05/2025 0:05:00,SG05,34.333333,47.929333,13.000951,1.44E-06
RTIO_MJ_15H225,1/05/2025 0:05:00,SG06,19.913333,69.353333,25.126185,2.79E-06
RTIO_MJ_15H225,1/05/2025 0:05:00,SG07,33.372,33.784,6.485006,7.21E-07
RTIO_MJ_15H225,1/05/2025 0:05:00,SG08,18.814667,54.521333,13.378129,1.49E-06
RTIO_MJ_15H225,1/05/2025 0:05:00,SG09,20.737333,53.422667,13.334174,1.48E-06
RTIO_MJ_15H225,1/05/2025 0:05:00,SG10,15.930667,63.86,15.277623,1.70E-06
RTIO_MJ_15H225,1/05/2025 0:05:00,SG11,28.153333,53.010667,8.730725,2.91E-06
RTIO_MJ_15H225,1/05/2025 0:05:00,SG12,20.325333,62.349333,8.443799,2.81E-06
RTIO_MJ_15H225,1/05/2025 0:10:00,SG01,29.938667,34.058667,5.159541,1.72E-06
RTIO_MJ_15H225,1/05/2025 0:10:00,SG02,15.381333,34.333333,3.659453,1.22E-06
RTIO_MJ_15H225,1/05/2025 0:10:00,SG03,5.218667,17.304,0.634869,7.05E-08
RTIO_MJ_15H225,1/05/2025 0:10:00,SG04,-12.085333,31.998667,0.461661,5.13E-08
RTIO_MJ_15H225,1/05/2025 0:10:00,SG05,-8.926667,29.801333,0.538308,5.98E-08
RTIO_MJ_15H225,1/05/2025 0:10:00,SG06,-13.870667,31.174667,0.378625,4.21E-08
