machine_code,cycle_start_time,channel_code,min_stress,max_stress,life,damage,cycle_start_time_5min,sum_payload,count_payload,avg_payload
RTIO_MJ_15H225,2025-05-01 00:00:00,SG01,31.037333,43.534667,14.1569,4.71896680520087e-06,2025-05-01 00:00:00,170.66386699999998,5.0,34.1327734
RTIO_MJ_15H225,2025-05-01 00:05:00,SG01,60.976,44.221333,17.334017,5.7780056296087e-06,2025-05-01 00:05:00,237.918778,7.0,33.98839685714286
RTIO_MJ_15H225,2025-05-01 00:10:00,SG01,29.938667,34.058667,5.159541,1.71984693930824e-06,,,,
RTIO_MJ_15H225,2025-05-01 00:15:00,SG01,33.646667,41.2,13.275504,4.42516793703652e-06,,,,
RTIO_MJ_15H225,2025-05-01 00:20:00,SG01,38.178667,46.144,26.091226,8.69707520465151e-06,,,,
RTIO_MJ_15H225,2025-05-01 00:25:00,SG01,41.612,48.066667,30.157776,1.00525921580255e-05,2025-05-01 00:25:00,54.703217,2.0,27.3516085
RTIO_MJ_15H225,2025-05-01 00:30:00,SG01,32.136,43.946667,19.825286,6.60842866161136e-06,2025-05-01 00:30:00,102.140817,4.0,25.53520425
RTIO_MJ_15H225,2025-05-01 00:35:00,SG01,32.548,46.556,10.810974,3.60365797226518e-06,2025-05-01 00:35:00,43.974365,2.0,21.9871825
RTIO_MJ_15H225,2025-05-01 00:40:00,SG01,17.304,24.170667,0.417938,1.39312788555723e-07,,,,
RTIO_MJ_15H225,2025-05-01 01:36:22,SG01,49.577333,44.633333,18.776979,4.54820148844493e-06,,,,
RTIO_MJ_15H225,2025-05-01 02:48:48,SG01,28.016,25.269333,7.841495,6.27319581842417e-07,,,,
RTIO_MJ_15H225,2025-05-01 02:50:00,SG01,31.037333,32.548,13.362378,4.4541259628822e-06,,,,
RTIO_MJ_15H225,2025-05-01 02:55:00,SG01,36.256,32.548,4.583931,1.52797693501174e-06,,,,
RTIO_MJ_15H225,2025-05-01 03:00:00,SG01,30.213333,29.526667,5.658463,1.88615435483512e-06,,,,
RTIO_MJ_15H225,2025-05-01 03:05:00,SG01,51.088,43.534667,29.749749,9.91658312745859e-06,,,,
RTIO_MJ_15H225,2025-05-01 03:10:00,SG01,52.186667,39.689333,34.2725,1.14241667053619e-05,,,,
RTIO_MJ_15H225,2025-05-01 03:15:00,SG01,63.173333,45.457333,39.260435,1.30868117484511e-05,,,,
RTIO_MJ_15H225,2025-05-01 03:20:00,SG01,41.2,35.981333,15.42444,5.14147994793038e-06,,,,
RTIO_MJ_15H225,2025-05-01 03:25:00,SG01,35.569333,43.946667,24.224563,8.07485420397007e-06,,,,
RTIO_MJ_15H225,2025-05-01 03:30:00,SG01,48.478667,41.2,22.812656,7.60421859936168e-06,2025-05-01 03:30:00,80.291402,4.0,20.0728505
RTIO_MJ_15H225,2025-05-01 03:35:00,SG01,44.633333,54.109333,41.25273,1.37509100227725e-05,2025-05-01 03:35:00,61.241449,2.0,30.6207245
RTIO_MJ_15H225,2025-05-01 03:40:00,SG01,42.024,44.221333,26.03346,8.67781990193426e-06,,,,
RTIO_MJ_15H225,2025-05-01 03:45:00,SG01,39.002667,27.604,5.749156,1.91638517969294e-06,,,,
RTIO_MJ_15H225,2025-05-01 03:50:00,SG01,53.010667,27.604,10.159882,3.38662722892389e-06,,,,
RTIO_MJ_15H225,2025-05-01 03:55:00,SG01,46.144,35.157333,11.480562,3.82685394132682e-06,,,,
RTIO_MJ_15H225,2025-05-01 04:00:00,SG01,19.226667,31.037333,2.009773,6.69924389071452e-07,,,,
RTIO_MJ_15H225,2025-05-01 04:05:00,SG01,8.652,35.981333,1.350355,4.50118325395824e-07,2025-05-01 04:05:00,31.032191,1.0,31.032191
RTIO_MJ_15H225,2025-05-01 04:10:00,SG01,41.2,34.470667,13.839175,4.61305825164589e-06,2025-05-01 04:10:00,229.92030599999998,7.0,32.845758
RTIO_MJ_15H225,2025-05-01 04:15:00,SG01,52.186667,50.676,27.465424,9.15514142146902e-06,2025-05-01 04:15:00,60.139541,3.0,20.046513666666666
RTIO_MJ_15H225,2025-05-01 04:20:00,SG01,35.569333,53.422667,20.17278,6.7242601036407e-06,,,,
RTIO_MJ_15H225,2025-05-01 04:25:00,SG01,24.582667,68.117333,12.702443,4.23414767381349e-06,2025-05-01 04:25:00,101.091742,3.0,33.69724733333333
RTIO_MJ_15H225,2025-05-01 04:30:00,SG01,20.462667,59.74,12.462082,4.15402731216825e-06,2025-05-01 04:30:00,164.11443300000002,5.0,32.822886600000004
RTIO_MJ_15H225,2025-05-01 04:35:00,SG01,15.518667,68.529333,18.250743,6.08358106578506e-06,2025-05-01 04:35:00,211.52516200000002,5.0,42.3050324
RTIO_MJ_15H225,2025-05-01 04:40:00,SG01,14.008,41.2,4.794831,1.59827712207292e-06,2025-05-01 04:40:00,54.72082,2.0,27.36041
RTIO_MJ_15H225,2025-05-01 04:45:00,SG01,-10.849333,15.518667,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 04:50:00,SG01,30.625333,34.745333,9.456563,3.15218754260948e-06,2025-05-01 04:50:00,207.13057,6.0,34.52176166666667
RTIO_MJ_15H225,2025-05-01 04:55:00,SG01,45.732,53.010667,20.146352,6.71545070558784e-06,2025-05-01 04:55:00,284.28087,8.0,35.53510875
RTIO_MJ_15H225,2025-05-01 05:00:00,SG01,48.890667,42.024,29.963054,9.98768479312857e-06,2025-05-01 05:00:00,86.420331,3.0,28.806777
RTIO_MJ_15H225,2025-05-01 05:05:00,SG01,39.414667,34.470667,3.285624,1.0952080389526e-06,2025-05-01 05:05:00,15.898826,1.0,15.898826
RTIO_MJ_15H225,2025-05-01 05:10:00,SG01,14.008,71.550667,15.183202,5.06106722319876e-06,2025-05-01 05:10:00,260.477916,7.0,37.211130857142855
RTIO_MJ_15H225,2025-05-01 05:15:00,SG01,18.128,62.486667,13.010402,4.33680082982259e-06,2025-05-01 05:15:00,297.976496,7.0,42.56807085714286
RTIO_MJ_15H225,2025-05-01 05:20:00,SG01,18.952,56.032,13.882974,4.62765807586266e-06,2025-05-01 05:20:00,295.134643,8.0,36.891830375
RTIO_MJ_15H225,2025-05-01 05:25:00,SG01,37.766667,47.242667,19.347658,6.44921921272343e-06,2025-05-01 05:25:00,186.799477,5.0,37.3598954
RTIO_MJ_15H225,2025-05-01 05:30:00,SG01,50.401333,42.024,32.320389,1.07734629142866e-05,,,,
RTIO_MJ_15H225,2025-05-01 05:35:00,SG01,54.109333,49.577333,24.296899,8.09896618357287e-06,2025-05-01 05:35:00,304.42212,9.0,33.82468
RTIO_MJ_15H225,2025-05-01 05:40:00,SG01,24.170667,40.788,13.481862,4.49395409032835e-06,2025-05-01 05:40:00,258.695225,7.0,36.95646071428571
RTIO_MJ_15H225,2025-05-01 05:45:00,SG01,10.986667,41.612,1.906297,6.35432293132654e-07,2025-05-01 05:45:00,65.388259,2.0,32.6941295
RTIO_MJ_15H225,2025-05-01 05:50:00,SG01,42.436,52.186667,17.426402,5.80880080524076e-06,2025-05-01 05:50:00,283.181694,8.0,35.39771175
RTIO_MJ_15H225,2025-05-01 05:55:00,SG01,26.093333,42.024,16.455939,5.48531299330873e-06,2025-05-01 05:55:00,339.090022,9.0,37.67666911111111
RTIO_MJ_15H225,2025-05-01 06:00:00,SG01,33.234667,42.024,18.89512,6.29837344239147e-06,2025-05-01 06:00:00,195.45468599999998,6.0,32.575781
RTIO_MJ_15H225,2025-05-01 06:05:00,SG01,37.08,58.229333,16.032717,5.3442391106016e-06,2025-05-01 06:05:00,188.184973,5.0,37.6369946
RTIO_MJ_15H225,2025-05-01 06:10:00,SG01,36.256,40.788,20.508724,6.83624124037579e-06,2025-05-01 06:10:00,221.605688,7.0,31.657955428571427
RTIO_MJ_15H225,2025-05-01 06:15:00,SG01,34.470667,60.152,34.978671,1.16595571075257e-05,2025-05-01 06:15:00,262.59126200000003,8.0,32.823907750000004
RTIO_MJ_15H225,2025-05-01 06:20:00,SG01,49.577333,43.946667,30.45114,1.01503800354731e-05,2025-05-01 06:20:00,115.072144,4.0,28.768036
RTIO_MJ_15H225,2025-05-01 06:25:00,SG01,26.093333,45.457333,12.148335,4.04944498844403e-06,2025-05-01 06:25:00,179.90897999999999,5.0,35.981795999999996
RTIO_MJ_15H225,2025-05-01 06:30:00,SG01,20.462667,44.221333,13.739539,4.57984629084248e-06,2025-05-01 06:30:00,349.73704299999997,9.0,38.859671444444444
RTIO_MJ_15H225,2025-05-01 06:35:00,SG01,42.024,37.492,6.336381,2.11212710574034e-06,2025-05-01 06:35:00,28.132074,1.0,28.132074
RTIO_MJ_15H225,2025-05-01 06:40:00,SG01,3.021333,-0.686667,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 06:45:00,SG01,41.612,28.290667,4.398065,1.46602156568884e-06,,,,
RTIO_MJ_15H225,2025-05-01 06:50:00,SG01,9.750667,31.312,0.758831,2.52943536496431e-07,,,,
RTIO_MJ_15H225,2025-05-01 06:55:00,SG01,51.912,36.256,24.114344,8.03811471504791e-06,,,,
RTIO_MJ_15H225,2025-05-01 07:00:00,SG01,48.478667,56.718667,53.348819,1.77829396057597e-05,,,,
RTIO_MJ_15H225,2025-05-01 07:05:00,SG01,39.002667,43.946667,31.138784,1.03795947282412e-05,2025-05-01 07:05:00,18.031393,1.0,18.031393
RTIO_MJ_15H225,2025-05-01 07:10:00,SG01,53.697333,36.256,17.57875,5.85958327110823e-06,,,,
RTIO_MJ_15H225,2025-05-01 07:15:00,SG01,51.912,62.074667,54.432134,1.81440448164411e-05,2025-05-01 07:15:00,85.682954,4.0,21.4207385
RTIO_MJ_15H225,2025-05-01 07:20:00,SG01,38.590667,42.436,23.4472,7.81573322304607e-06,,,,
RTIO_MJ_15H225,2025-05-01 07:25:00,SG01,36.668,51.088,39.108565,1.30361883176516e-05,,,,
RTIO_MJ_15H225,2025-05-01 07:30:00,SG01,-8.652,14.282667,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 07:35:00,SG01,28.702667,39.689333,9.885397,3.29513221839275e-06,,,,
RTIO_MJ_15H225,2025-05-01 07:40:00,SG01,31.449333,37.492,13.335954,4.44531799776158e-06,,,,
