machine_code,cycle_start_time,cycle_end_time,cycle_time,avg_payload
RTIO_MJ_15H225,1/05/2025 0:00:08,1/05/2025 0:00:19,11,36.952357
RTIO_MJ_15H225,1/05/2025 0:00:38,1/05/2025 0:00:52,14,39.435674
RTIO_MJ_15H225,1/05/2025 0:02:44,1/05/2025 0:02:47,3,31.747894
RTIO_MJ_15H225,1/05/2025 0:03:16,1/05/2025 0:03:21,5,32.661722
RTIO_MJ_15H225,1/05/2025 0:04:13,1/05/2025 0:04:44,31,29.86622
RTIO_MJ_15H225,1/05/2025 0:05:04,1/05/2025 0:05:17,13,37.261355
RTIO_MJ_15H225,1/05/2025 0:05:39,1/05/2025 0:05:52,13,42.212016
RTIO_MJ_15H225,1/05/2025 0:06:14,1/05/2025 0:06:26,12,39.899422
RTIO_MJ_15H225,1/05/2025 0:06:45,1/05/2025 0:06:57,12,36.979573
RTIO_MJ_15H225,1/05/2025 0:07:18,1/05/2025 0:07:30,12,33.537594
RTIO_MJ_15H225,1/05/2025 0:07:54,1/05/2025 0:08:07,13,37.562973
RTIO_MJ_15H225,1/05/2025 0:08:22,1/05/2025 0:08:31,9,10.465845
RTIO_MJ_15H225,1/05/2025 0:29:15,1/05/2025 0:29:22,7,22.915994
RTIO_MJ_15H225,1/05/2025 0:29:48,1/05/2025 0:29:57,9,31.787223
RTIO_MJ_15H225,1/05/2025 0:30:26,1/05/2025 0:30:43,17,22.585912
RTIO_MJ_15H225,1/05/2025 0:31:12,1/05/2025 0:31:32,20,23.990291
RTIO_MJ_15H225,1/05/2025 0:32:17,1/05/2025 0:32:54,37,33.074781
RTIO_MJ_15H225,1/05/2025 0:34:48,1/05/2025 0:34:56,8,22.489833
RTIO_MJ_15H225,1/05/2025 0:35:23,1/05/2025 0:35:39,16,23.37039
RTIO_MJ_15H225,1/05/2025 0:36:00,1/05/2025 0:36:17,17,20.603975
RTIO_MJ_15H225,1/05/2025 3:31:19,1/05/2025 3:31:32,13,23.272318
RTIO_MJ_15H225,1/05/2025 3:31:56,1/05/2025 3:32:16,20,20.038838
RTIO_MJ_15H225,1/05/2025 3:32:43,1/05/2025 3:32:55,12,24.657799
RTIO_MJ_15H225,1/05/2025 3:33:14,1/05/2025 3:33:23,9,12.322447
RTIO_MJ_15H225,1/05/2025 3:36:12,1/05/2025 3:36:16,4,31.488549
RTIO_MJ_15H225,1/05/2025 3:36:41,1/05/2025 3:36:46,5,29.7529
RTIO_MJ_15H225,1/05/2025 4:09:27,1/05/2025 4:10:49,82,31.032191
